Order_Number,order_date,order_total,items_count,status,month
139374.0,2020-01-11,8450.0,1,Delivered,2020-01
139375.0,2020-01-11,33150.0,1,Delivered,2020-01
139376.0,2020-01-11,18200.0,1,Delivered,2020-01
139377.0,2020-01-11,25545.0,1,Delivered,2020-01
139378.0,2020-01-11,39780.0,1,Order,2020-01
139379.0,2020-01-11,2990.0,1,Order,2020-01
139380.0,2020-01-11,3315.0,1,Order,2020-01
139381.0,2020-01-12,1690.0,1,Order,2020-01
139382.0,2020-01-13,9750.0,1,Order,2020-01
139383.0,2020-01-14,39000.0,1,Order,2020-01
139384.0,2020-01-15,13650.0,1,Order,2020-01
139385.0,2020-01-16,44200.0,1,Order,2020-01
139386.0,2020-01-17,18200.0,1,Order,2020-01
139387.0,2020-01-18,2184.0,1,Processing,2020-01
139388.0,2020-01-19,17004.0,1,Processing,2020-01
139389.0,2020-01-20,3484.0,1,Processing,2020-01
139390.0,2020-01-21,21450.0,1,Processing,2020-01
139391.0,2020-01-22,13780.0,1,Processing,2020-01
139392.0,2020-01-22,32630.0,1,Processing,2020-01
139393.0,2020-01-22,37700.0,1,Processing,2020-01
139394.0,2020-01-22,1040.0,1,Processing,2020-01
139395.0,2020-01-22,2340.0,1,Processing,2020-01
139396.0,2020-01-22,54600.0,1,Processing,2020-01
139397.0,2020-01-23,8450.0,1,Processing,2020-01
139398.0,2020-01-24,23400.0,1,Processing,2020-01
139399.0,2020-01-25,22100.0,1,Processing,2020-01
139400.0,2020-01-26,32500.0,1,Processing,2020-01
139401.0,2020-01-26,13650.0,1,Shipped,2020-01
139402.0,2020-01-26,23400.0,1,Order,2020-01
139403.0,2020-01-26,8190.0,1,Order,2020-01
139404.0,2020-01-27,4485.0,1,Order,2020-01
139405.0,2020-01-28,455.0,1,Order,2020-01
139406.0,2020-01-29,37050.0,1,Order,2020-01
139407.0,2020-01-30,13000.0,1,Processing,2020-01
139408.0,2020-01-31,25350.0,1,Delivered,2020-01
139409.0,2020-02-01,44200.0,1,Shipped,2020-02
139410.0,2020-02-01,27300.0,1,Shipped,2020-02
139411.0,2020-02-01,25545.0,1,Shipped,2020-02
139412.0,2020-02-01,29835.0,1,Shipped,2020-02
139413.0,2020-02-02,1495.0,1,Shipped,2020-02
139414.0,2020-02-03,1105.0,1,Shipped,2020-02
139415.0,2020-02-03,1690.0,1,Shipped,2020-02
139416.0,2020-02-03,9750.0,1,Shipped,2020-02
139417.0,2020-02-04,39000.0,1,Shipped,2020-02
139418.0,2020-02-05,27300.0,1,Shipped,2020-02
139419.0,2020-02-06,44200.0,1,Processing,2020-02
139420.0,2020-02-07,36400.0,1,Delivered,2020-02
139421.0,2020-02-08,4368.0,1,Shipped,2020-02
139422.0,2020-02-09,8502.0,1,Order,2020-02
139423.0,2020-02-10,3484.0,1,Processing,2020-02
139424.0,2020-02-11,10725.0,1,Delivered,2020-02
139425.0,2020-02-12,10335.0,1,Shipped,2020-02
139426.0,2020-02-13,48945.0,1,Order,2020-02
139427.0,2020-02-14,56550.0,1,Processing,2020-02
139428.0,2020-02-15,3120.0,1,Delivered,2020-02
139429.0,2020-02-16,2340.0,1,Shipped,2020-02
139430.0,2020-02-17,40950.0,1,Order,2020-02
139431.0,2020-02-18,16900.0,1,Processing,2020-02
139432.0,2020-02-19,11700.0,1,Delivered,2020-02
139433.0,2020-02-19,22100.0,1,Shipped,2020-02
139434.0,2020-02-19,65000.0,1,Order,2020-02
139435.0,2020-02-19,9100.0,1,Processing,2020-02
139436.0,2020-02-20,11700.0,1,Delivered,2020-02
139437.0,2020-02-21,8190.0,1,Shipped,2020-02
139438.0,2020-02-22,1495.0,1,Order,2020-02
139439.0,2020-02-23,455.0,1,Processing,2020-02
139440.0,2020-02-24,12350.0,1,Delivered,2020-02
139441.0,2020-02-25,13000.0,1,Shipped,2020-02
139442.0,2020-02-26,25350.0,1,Order,2020-02
139443.0,2020-02-27,33150.0,1,Processing,2020-02
139444.0,2020-02-28,9100.0,1,Delivered,2020-02
139445.0,2020-02-29,17030.0,1,Shipped,2020-02
139446.0,2020-03-01,29835.0,1,Order,2020-03
139447.0,2020-03-02,2990.0,1,Processing,2020-03
139448.0,2020-03-03,1105.0,1,Delivered,2020-03
139449.0,2020-03-04,2535.0,1,Shipped,2020-03
139450.0,2020-03-05,39000.0,1,Order,2020-03
139451.0,2020-03-06,26000.0,1,Processing,2020-03
139452.0,2020-03-07,40950.0,1,Delivered,2020-03
139453.0,2020-03-07,33150.0,1,Shipped,2020-03
139454.0,2020-03-07,18200.0,1,Order,2020-03
139455.0,2020-03-07,8736.0,1,Processing,2020-03
139456.0,2020-03-07,8502.0,1,Delivered,2020-03
139457.0,2020-03-07,10452.0,1,Shipped,2020-03
139458.0,2020-03-07,21450.0,1,Order,2020-03
139459.0,2020-03-08,10335.0,1,Processing,2020-03
139460.0,2020-03-09,16315.0,1,Delivered,2020-03
139461.0,2020-03-10,18850.0,1,Shipped,2020-03
139462.0,2020-03-11,2080.0,1,Order,2020-03
139463.0,2020-03-12,780.0,1,Processing,2020-03
139464.0,2020-03-13,13650.0,1,Delivered,2020-03
139465.0,2020-03-14,25350.0,1,Shipped,2020-03
139466.0,2020-03-15,11700.0,1,Order,2020-03
139467.0,2020-03-16,11050.0,1,Processing,2020-03
139468.0,2020-03-16,48750.0,1,Delivered,2020-03
139469.0,2020-03-16,4550.0,1,Shipped,2020-03
139470.0,2020-03-16,23400.0,1,Order,2020-03
139471.0,2020-03-16,8190.0,1,Processing,2020-03
139472.0,2020-03-16,5980.0,1,Delivered,2020-03
139473.0,2020-03-16,1365.0,1,Shipped,2020-03
139474.0,2020-03-16,37050.0,1,Order,2020-03
139475.0,2020-03-16,13000.0,1,Processing,2020-03
139476.0,2020-03-16,16900.0,1,Delivered,2020-03
139477.0,2020-03-17,11050.0,1,Shipped,2020-03
139478.0,2020-03-18,27300.0,1,Order,2020-03
139479.0,2020-03-18,17030.0,1,Processing,2020-03
139480.0,2020-03-18,39780.0,1,Delivered,2020-03
139481.0,2020-03-18,2990.0,1,Shipped,2020-03
139482.0,2020-03-18,4420.0,1,Order,2020-03
139483.0,2020-03-18,3380.0,1,Processing,2020-03
139484.0,2020-03-18,9750.0,1,Delivered,2020-03
139485.0,2020-03-18,26000.0,1,Shipped,2020-03
139486.0,2020-03-19,40950.0,1,Order,2020-03
139487.0,2020-03-19,44200.0,1,Processing,2020-03
139488.0,2020-03-19,9100.0,1,Delivered,2020-03
139489.0,2020-03-19,4368.0,1,Shipped,2020-03
139490.0,2020-03-19,17004.0,1,Order,2020-03
139491.0,2020-03-19,3484.0,1,Processing,2020-03
139492.0,2020-03-19,10725.0,1,Delivered,2020-03
139493.0,2020-03-20,10335.0,1,Shipped,2020-03
139494.0,2020-03-21,65260.0,1,Order,2020-03
139495.0,2020-03-22,18850.0,1,Processing,2020-03
139496.0,2020-03-23,2080.0,1,Delivered,2020-03
139497.0,2020-03-24,2340.0,1,Shipped,2020-03
139498.0,2020-03-24,13650.0,1,Order,2020-03
139499.0,2020-03-24,8450.0,1,Processing,2020-03
139500.0,2020-03-24,5850.0,1,Delivered,2020-03
139501.0,2020-03-24,44200.0,1,Shipped,2020-03
139502.0,2020-03-24,65000.0,1,Order,2020-03
139503.0,2020-03-24,13650.0,1,Processing,2020-03
139504.0,2020-03-24,23400.0,1,Delivered,2020-03
139505.0,2020-03-24,8190.0,1,Shipped,2020-03
139506.0,2020-03-25,2990.0,1,Order,2020-03
139507.0,2020-03-25,1365.0,1,Processing,2020-03
139508.0,2020-03-25,49400.0,1,Delivered,2020-03
139509.0,2020-03-25,52000.0,1,Shipped,2020-03
139510.0,2020-03-25,8450.0,1,Order,2020-03
139511.0,2020-03-25,33150.0,1,Processing,2020-03
139512.0,2020-03-25,27300.0,1,Delivered,2020-03
139513.0,2020-03-25,25545.0,1,Shipped,2020-03
139514.0,2020-03-25,39780.0,1,Order,2020-03
139515.0,2020-03-26,2990.0,1,Processing,2020-03
139516.0,2020-03-26,2210.0,1,Delivered,2020-03
139517.0,2020-03-26,845.0,1,Shipped,2020-03
139518.0,2020-03-26,19500.0,1,Order,2020-03
139519.0,2020-03-26,13000.0,1,Processing,2020-03
139520.0,2020-03-26,27300.0,1,Delivered,2020-03
139521.0,2020-03-26,11050.0,1,Shipped,2020-03
139522.0,2020-03-26,36400.0,1,Order,2020-03
139523.0,2020-03-26,4368.0,1,Processing,2020-03
139524.0,2020-03-26,25506.0,1,Delivered,2020-03
139525.0,2020-03-26,3484.0,1,Shipped,2020-03
139526.0,2020-03-26,42900.0,1,Order,2020-03
